,AAPL,GOOG,MSFT
2025-02-07 14:30:00+00:00,232.73779296875,,416.42498779296875
2025-02-07 14:31:00+00:00,233.43499755859375,,417.0140075683594
2025-02-07 14:32:00+00:00,233.0399932861328,,416.80999755859375
2025-02-07 14:33:00+00:00,233.21009826660156,,418.1099853515625
2025-02-07 14:34:00+00:00,233.4095001220703,,418.17498779296875
2025-02-07 14:35:00+00:00,233.2899932861328,,417.9849853515625
2025-02-07 14:36:00+00:00,233.58050537109375,,417.6199951171875
2025-02-07 14:37:00+00:00,233.55999755859375,,417.6300048828125
2025-02-07 14:38:00+00:00,233.68499755859375,,418.4700012207031
2025-02-07 14:39:00+00:00,233.77000427246094,,418.1099853515625
2025-02-07 14:40:00+00:00,233.4199981689453,,418.42498779296875
2025-02-07 14:41:00+00:00,233.4654998779297,,418.29998779296875
2025-02-07 14:42:00+00:00,233.32000732421875,,418.30999755859375
2025-02-07 14:43:00+00:00,233.28500366210938,,417.9800109863281
2025-02-07 14:44:00+00:00,233.13999938964844,,417.37921142578125
2025-02-07 14:45:00+00:00,233.32040405273438,,417.3909912109375
2025-02-07 14:46:00+00:00,233.69500732421875,,417.6000061035156
2025-02-07 14:47:00+00:00,233.47000122070312,,417.760009765625
2025-02-07 14:48:00+00:00,233.41000366210938,,417.94000244140625
2025-02-07 14:49:00+00:00,233.35000610351562,,417.93499755859375
2025-02-07 14:50:00+00:00,233.1999969482422,,417.6448059082031
2025-02-07 14:51:00+00:00,233.31019592285156,,417.7900085449219
2025-02-07 14:52:00+00:00,233.38999938964844,,417.889892578125
2025-02-07 14:53:00+00:00,233.1300048828125,,418.15679931640625
2025-02-07 14:54:00+00:00,233.03500366210938,,417.9505920410156
2025-02-07 14:55:00+00:00,232.9644012451172,,417.7569885253906
2025-02-07 14:56:00+00:00,232.8800048828125,,417.30999755859375
2025-02-07 14:57:00+00:00,232.702392578125,,417.0994873046875
2025-02-07 14:58:00+00:00,232.74949645996094,,417.19000244140625
2025-02-07 14:59:00+00:00,232.69000244140625,,417.0799865722656
2025-02-07 15:00:00+00:00,231.72000122070312,,416.0249938964844
2025-02-07 15:01:00+00:00,231.67999267578125,,415.260009765625
2025-02-07 15:02:00+00:00,231.4499969482422,,414.7110900878906
2025-02-07 15:03:00+00:00,231.25,,414.6695861816406
2025-02-07 15:04:00+00:00,231.0749969482422,,414.43499755859375
2025-02-07 15:05:00+00:00,231.0399932861328,,414.4092102050781
2025-02-07 15:06:00+00:00,230.97999572753906,,414.9186096191406
2025-02-07 15:07:00+00:00,230.75999450683594,,414.80499267578125
2025-02-07 15:08:00+00:00,230.77699279785156,,414.7825012207031
2025-02-07 15:09:00+00:00,231.0800018310547,,414.8900146484375
2025-02-07 15:10:00+00:00,230.88999938964844,,414.54010009765625
2025-02-07 15:11:00+00:00,230.77000427246094,,414.3299865722656
2025-02-07 15:12:00+00:00,230.5800018310547,,413.8200988769531
2025-02-07 15:13:00+00:00,230.35000610351562,,413.5199890136719
2025-02-07 15:14:00+00:00,230.2899932861328,,413.9800109863281
2025-02-07 15:15:00+00:00,230.44000244140625,,413.95001220703125
2025-02-07 15:16:00+00:00,230.44000244140625,,413.96649169921875
2025-02-07 15:17:00+00:00,230.2100067138672,,413.7349853515625
2025-02-07 15:18:00+00:00,229.97999572753906,,413.864990234375
2025-02-07 15:19:00+00:00,230.0800018310547,,413.7300109863281
2025-02-07 15:20:00+00:00,230.0,,413.364990234375
2025-02-07 15:21:00+00:00,230.4499969482422,,413.5050048828125
2025-02-07 15:22:00+00:00,230.50999450683594,,413.5498962402344
2025-02-07 15:23:00+00:00,230.55999755859375,,413.56878662109375
2025-02-07 15:24:00+00:00,230.6300048828125,,413.4800109863281
2025-02-07 15:25:00+00:00,230.32000732421875,,413.19000244140625
2025-02-07 15:26:00+00:00,230.52999877929688,,413.19500732421875
2025-02-07 15:27:00+00:00,230.85000610351562,,413.2550048828125
2025-02-07 15:28:00+00:00,230.6300048828125,,413.4549865722656
2025-02-07 15:29:00+00:00,230.38999938964844,,412.6099853515625
2025-02-07 15:30:00+00:00,230.66099548339844,,412.67999267578125
2025-02-07 15:31:00+00:00,230.55999755859375,,412.5299987792969
2025-02-07 15:32:00+00:00,230.43829345703125,,412.5
2025-02-07 15:33:00+00:00,230.3000030517578,,412.5935974121094
2025-02-07 15:34:00+00:00,230.27999877929688,,412.5899963378906
2025-02-07 15:35:00+00:00,230.44720458984375,,412.7250061035156
2025-02-07 15:36:00+00:00,230.51499938964844,,413.1600036621094
2025-02-07 15:37:00+00:00,230.5050048828125,,413.6213073730469
2025-02-07 15:38:00+00:00,230.63999938964844,,413.5364990234375
2025-02-07 15:39:00+00:00,230.3699951171875,,412.7583923339844
2025-02-07 15:40:00+00:00,230.56500244140625,,413.0199890136719
2025-02-07 15:41:00+00:00,230.52499389648438,,413.0668029785156
2025-02-07 15:42:00+00:00,230.47000122070312,,412.8500061035156
2025-02-07 15:43:00+00:00,230.44009399414062,,412.92999267578125
2025-02-07 15:44:00+00:00,230.40499877929688,,412.7799987792969
2025-02-07 15:45:00+00:00,230.34500122070312,,412.6400146484375
2025-02-07 15:46:00+00:00,230.47999572753906,,412.9200134277344
2025-02-07 15:47:00+00:00,230.7100067138672,,413.1400146484375
2025-02-07 15:48:00+00:00,230.75,,413.06500244140625
2025-02-07 15:49:00+00:00,230.91839599609375,,413.0350036621094
2025-02-07 15:50:00+00:00,230.9600067138672,,413.1300048828125
2025-02-07 15:51:00+00:00,230.98500061035156,,413.1499938964844
2025-02-07 15:52:00+00:00,231.19500732421875,,413.1400146484375
2025-02-07 15:53:00+00:00,229.61000061035156,,411.07000732421875
2025-02-07 15:54:00+00:00,229.4550018310547,,411.04998779296875
2025-02-07 15:55:00+00:00,230.1300048828125,,411.7550048828125
2025-02-07 15:56:00+00:00,230.05999755859375,,411.62750244140625
2025-02-07 15:57:00+00:00,230.14999389648438,,411.7650146484375
2025-02-07 15:58:00+00:00,230.27000427246094,,411.80999755859375
2025-02-07 15:59:00+00:00,230.52999877929688,,412.1199951171875
