Datetime,AAPL,GOOG,MSFT
2026-07-06 09:30:00-04:00,308.2149963378906,359.29998779296875,388.2650146484375
2026-07-06 09:31:00-04:00,307.7699890136719,358.19000244140625,387.2699890136719
2026-07-06 09:32:00-04:00,308.2449951171875,358.7699890136719,387.989990234375
2026-07-06 09:33:00-04:00,308.8450012207031,358.0,388.3500061035156
2026-07-06 09:34:00-04:00,308.79998779296875,357.17999267578125,387.125
2026-07-06 09:35:00-04:00,308.5249938964844,357.6824951171875,385.3299865722656
2026-07-06 09:36:00-04:00,309.0199890136719,358.32501220703125,383.56500244140625
2026-07-06 09:37:00-04:00,309.29998779296875,357.7550048828125,383.44000244140625
2026-07-06 09:38:00-04:00,308.7850036621094,357.42999267578125,382.2001037597656
2026-07-06 09:39:00-04:00,309.4339904785156,357.4993896484375,382.2200012207031
2026-07-06 09:40:00-04:00,309.260009765625,357.5899963378906,383.0899963378906
